"Mode : 1 - Takoyaki AM, 2 - Sheet pAM, 3 - 3D xAM",,,,,,,,,,
,,,,,,,,,,
Z axis,,,,X axis,,,,Y axis,,
FWHM (mm),Mode,Phantom,,FWHM,Mode,Phantom,,FWHM,Mode,Phantom
0.067227964,1,1,,0.293831313,3,1,,0.334975055,2,1
0.070760851,1,1,,0.306814873,3,1,,0.393276513,2,1
0.211821374,1,1,,0.364560657,3,1,,0.346697936,2,1
0.073752106,1,1,,0.330898089,3,1,,0.158425731,2,1
0.065465524,1,1,,0.247518527,3,1,,0.364110778,2,1
0.088181982,1,1,,0.268330561,3,1,,0.318200239,2,1
0.094401562,1,1,,0.283381247,3,1,,0.190978871,2,1
0.125186745,1,1,,0.286558274,3,1,,0.291249087,3,1
0.091642035,1,1,,0.323507217,3,1,,0.37927393,3,1
0.088343689,1,1,,0.322642928,3,1,,0.452586093,3,1
0.085175589,1,1,,0.301596263,3,1,,0.621758443,3,1
0.09262562,1,1,,0.250677166,3,1,,0.373409093,3,1
0.068945161,1,1,,0.329251679,3,1,,0.521366389,3,1
0.094492106,1,1,,0.30136547,3,1,,0.694197208,3,1
0.062517377,1,1,,0.329978211,3,1,,0.680406949,3,1
0.076626681,1,1,,0.362397522,3,1,,0.452835089,3,1
0.130703364,1,1,,0.410667331,3,1,,0.35230501,3,1
0.108491367,1,1,,0.273988889,3,1,,0.675252698,3,1
0.100177378,1,1,,0.286339738,3,1,,0.580916042,3,1
0.093231182,1,1,,0.333590867,3,1,,0.344021469,3,1
0.136160103,1,1,,0.25147601,3,1,,0.354716042,3,1
0.24843565,1,1,,0.278631392,3,1,,0.567056695,3,1
0.056722315,1,1,,0.312724929,3,1,,0.461933111,3,1
0.177105853,1,1,,0.286643713,3,1,,0.500446266,3,1
0.088755719,1,1,,0.235557605,3,1,,0.442520685,3,1
0.094389339,1,1,,0.452977791,3,1,,0.433787819,3,1
0.105086641,1,1,,0.498876158,3,1,,0.388522875,3,1
0.09134166,1,1,,0.244863105,3,1,,0.548275267,3,1
0.119536764,1,1,,0.285779388,3,1,,0.713044322,3,1
0.089522995,1,1,,0.247760759,3,1,,0.864544231,3,1
0.071772205,1,1,,0.259385251,3,1,,0.358627554,3,1
0.09893785,1,1,,0.306816151,1,2,,0.502984374,3,1
0.118951375,1,1,,0.626165933,1,2,,0.273433274,3,1
0.153729621,1,1,,0.182344638,1,2,,0.74561464,3,1
0.116859299,1,1,,0.314223862,1,2,,0.529649293,3,1
0.09216334,1,1,,0.557898141,1,2,,1.003963877,3,1
0.131460617,1,1,,0.389627388,1,2,,0.198647359,3,1
0.071139667,1,1,,0.291191974,1,2,,0.471617697,3,1
0.082089188,1,1,,0.288310496,1,2,,0.623415036,3,1
0.080449277,1,1,,0.402128443,1,2,,0.461703439,3,1
0.104686201,1,1,,0.304542508,1,2,,0.364497755,3,1
0.092639562,1,1,,0.30511175,1,2,,0.629460684,3,1
0.078529589,1,1,,0.314438849,1,2,,0.544849573,3,1
0.088419401,1,1,,0.2441197,1,2,,0.571377146,3,1
0.160290864,1,1,,0.602757951,1,2,,0.269029276,1,2
0.086175231,1,1,,0.207040868,1,2,,0.323809898,1,2
0.086267628,1,1,,0.289761863,1,2,,0.21732454,1,2
0.099490819,1,1,,0.476018305,1,2,,0.322774694,1,2
0.102345572,1,1,,0.258671767,1,2,,0.448933375,1,2
0.05561106,1,1,,0.302438377,1,2,,0.515779915,1,2
0.105029617,1,1,,0.400673289,1,2,,0.478982559,1,2
0.103440614,1,1,,0.269419291,1,2,,0.390583603,1,2
0.11288276,1,1,,0.258514807,1,2,,0.442202426,1,2
0.069945597,1,1,,0.263379265,1,2,,0.340784211,1,2
0.086777761,1,1,,0.376219659,1,2,,0.35699007,1,2
0.073749212,1,1,,0.373120293,1,2,,0.313750522,1,2
0.072080005,1,1,,0.283335371,1,2,,0.241780611,1,2
0.081132079,1,1,,0.389397674,1,2,,0.438713799,1,2
0.065284688,1,1,,0.342605267,1,2,,0.225553804,1,2
0.087324076,1,1,,0.400958887,1,2,,0.272821331,1,2
0.250975227,1,1,,0.566366694,1,2,,0.234873185,1,2
0.13981322,1,1,,0.280985227,1,2,,0.267442228,1,2
0.063724535,1,1,,0.23972107,1,2,,0.432658342,1,2
0.091124961,1,1,,0.191505132,1,2,,0.444455175,1,2
0.096861663,1,1,,0.421803404,1,2,,0.288626298,1,2
0.112665878,1,1,,0.391091788,1,2,,0.299999886,1,2
0.071442605,1,1,,0.29953195,1,2,,0.417842527,1,2
0.11494454,1,1,,0.213331339,1,2,,0.357875737,1,2
0.136184187,1,1,,0.367055368,1,2,,0.290714446,1,2
0.10531325,1,1,,0.829396396,1,2,,0.270952631,1,2
0.13133327,1,1,,0.233177838,1,2,,0.405652467,1,2
0.083669207,1,1,,0.577644736,1,2,,0.282138305,1,2
0.068804315,1,1,,0.399048704,1,2,,0.293889871,1,2
0.0844755,1,1,,0.327271989,1,2,,0.291631244,1,2
0.091262141,1,1,,0.29839333,1,2,,0.41095117,1,2
0.065848716,1,1,,0.273319114,1,2,,0.290916531,1,2
0.088803093,1,1,,0.339991158,1,2,,0.270162464,1,2
0.078156081,1,1,,0.342114649,1,2,,0.290784565,1,2
0.09231677,1,1,,0.448511747,1,2,,0.538555475,1,2
0.08368871,1,1,,0.2820018,1,2,,0.387718314,1,2
0.08838021,1,1,,0.454242653,2,2,,0.31178566,1,2
0.08954107,1,1,,0.638528358,2,2,,0.291053455,1,2
0.083370975,1,1,,0.391266158,2,2,,0.471589312,1,2
0.077814122,1,1,,0.330313207,2,2,,0.301113121,1,2
0.087705858,1,1,,0.342784013,2,2,,0.572718408,1,2
0.072123727,1,1,,0.28623042,2,2,,0.584186234,1,2
0.097942365,1,1,,0.279320475,2,2,,0.409224512,1,2
0.112892874,1,1,,0.539803135,2,2,,0.380772243,1,2
0.085530437,1,1,,0.370536744,2,2,,0.374933118,1,2
0.106250967,1,1,,0.453815473,2,2,,0.474325433,2,2
0.09323581,1,1,,0.430705346,2,2,,0.56306367,2,2
0.1000888,1,1,,0.408386288,2,2,,0.323139409,2,2
0.169911184,1,1,,0.388023764,2,2,,0.366958945,2,2
0.085870646,1,1,,0.378172347,2,2,,0.318188382,2,2
0.073698863,1,1,,0.316836958,2,2,,0.743242803,2,2
0.08609633,1,1,,0.417023507,2,2,,0.37659231,2,2
0.169768556,1,1,,0.403685545,2,2,,0.271707327,2,2
0.08666306,1,1,,0.415098616,2,2,,0.322435491,2,2
0.07886696,1,1,,0.761116061,2,2,,0.195901976,2,2
0.116557508,1,1,,0.396745431,2,2,,0.532984098,2,2
0.099310923,1,1,,0.365510565,2,2,,0.42500267,2,2
0.107548757,1,1,,0.445259237,2,2,,0.183598734,2,2
0.133092249,1,1,,0.76818304,2,2,,0.295081371,2,2
0.098078517,1,1,,0.21277009,2,2,,0.323137824,2,2
0.118971891,1,1,,0.338111079,2,2,,0.27587769,2,2
0.065321255,1,1,,0.277249672,2,2,,0.439036574,2,2
0.127729442,1,1,,0.423576035,2,2,,0.531748034,2,2
0.155962701,1,1,,0.428437664,2,2,,0.532696489,2,2
0.131102518,1,1,,0.44300748,2,2,,0.310201889,2,2
0.281676688,1,1,,0.735931992,2,2,,0.278520785,2,2
0.100447245,1,1,,0.537820575,2,2,,0.71994935,2,2
0.13707669,1,1,,0.583474766,2,2,,0.41148893,2,2
0.070036967,1,1,,0.412665478,2,2,,0.439852237,2,2
0.081757538,1,1,,0.610109973,2,2,,0.231636689,2,2
0.073842848,1,1,,0.378152936,2,2,,0.369981292,2,2
0.119246255,1,1,,0.517843016,2,2,,0.405632644,2,2
0.087678494,1,1,,0.553941745,2,2,,0.278836922,2,2
0.084873441,1,1,,0.359984433,2,2,,0.309529985,2,2
0.128552966,1,1,,0.582777796,2,2,,0.297905164,2,2
0.105516868,1,1,,0.406731039,2,2,,0.425777217,2,2
0.146116755,1,1,,0.463344822,2,2,,0.427134237,2,2
0.08064519,1,1,,0.365522221,2,2,,0.674409426,2,2
0.063167939,1,1,,0.498742587,2,2,,0.296843218,2,2
0.077611665,1,1,,0.451386164,2,2,,0.273814133,2,2
0.087497643,1,1,,0.590602723,2,2,,0.338973465,2,2
0.084046616,1,1,,0.64186477,2,2,,0.351414399,2,2
0.07474827,1,1,,0.384307793,2,2,,0.300736958,2,2
0.082036906,1,1,,0.301422852,2,2,,0.297552396,2,2
0.093405222,1,1,,0.436703074,2,2,,0.360096924,2,2
0.102328699,1,1,,0.402186596,2,2,,0.282717277,2,2
0.125376402,1,1,,0.259338564,2,2,,0.280742303,2,2
0.071075229,1,1,,0.63051177,2,2,,0.263770883,2,2
0.079609249,1,1,,0.459699924,2,2,,0.477409485,2,2
0.08485474,1,1,,0.378770722,2,2,,0.160528983,2,2
0.09252575,1,1,,0.281018072,2,2,,0.308929138,2,2
0.109519994,1,1,,0.265468454,2,2,,0.193794722,2,2
0.091752081,1,1,,0.851485663,2,2,,0.292012805,2,2
0.092122296,1,1,,0.407099861,2,2,,0.55637903,2,2
0.122731661,1,1,,0.220556046,2,2,,0.389842293,2,2
0.085776058,1,1,,0.576451444,3,2,,0.324864632,2,2
0.112459617,1,1,,0.303710258,3,2,,0.243488612,2,2
0.120699672,1,1,,0.348826699,3,2,,0.306047348,2,2
0.083990735,1,1,,0.293083121,3,2,,0.288461184,2,2
0.092983575,1,1,,0.316200375,3,2,,0.535831198,2,2
0.092372229,1,1,,0.493793915,3,2,,0.29796117,2,2
0.101246702,1,1,,0.340540589,3,2,,0.215207696,2,2
0.099205942,1,1,,0.471708038,3,2,,0.343560024,3,2
0.118637522,1,1,,0.303822286,3,2,,0.445894348,3,2
0.096209036,1,1,,0.328474396,3,2,,1.100409507,3,2
0.097599523,1,1,,0.302989095,3,2,,0.506385081,3,2
0.101627723,1,1,,0.227315284,3,2,,0.521028678,3,2
0.074843586,1,1,,0.314450609,3,2,,0.454763456,3,2
0.082010716,1,1,,0.140855549,3,2,,0.4705601,3,2
0.085322923,1,1,,0.302178352,3,2,,0.423403827,3,2
0.108381943,1,1,,0.234007963,3,2,,0.560346376,3,2
0.0829011,1,1,,0.306624719,3,2,,0.607101185,3,2
0.085388815,1,1,,0.201730707,3,2,,0.846662652,3,2
0.078769548,1,1,,0.343630375,3,2,,0.394997035,3,2
0.086744604,1,1,,0.210722079,3,2,,0.544513078,3,2
0.098872562,1,1,,0.293232652,3,2,,0.432877432,3,2
0.087116779,1,1,,0.246866254,3,2,,0.472493009,3,2
0.103177892,1,1,,0.288163944,3,2,,0.396133105,3,2
0.127246531,1,1,,0.445638772,3,2,,0.759254438,3,2
0.080815008,1,1,,0.426333749,3,2,,0.336077537,3,2
0.082735212,1,1,,0.295669772,3,2,,0.568974598,3,2
0.073349592,1,1,,0.272909353,3,2,,0.479044017,3,2
0.095669254,1,1,,0.29562763,3,2,,0.557100798,3,2
0.077455474,1,1,,0.299049641,3,2,,0.474332844,3,2
0.079033344,1,1,,0.291060994,3,2,,0.306643237,3,2
0.103682812,1,1,,0.433584915,3,2,,0.505122067,3,2
0.068693884,1,1,,0.283982146,3,2,,0.344075128,3,2
0.121370401,1,1,,0.418435788,3,2,,0.570043741,3,2
0.126862558,1,1,,0.314953266,3,2,,0.205234581,3,2
0.103882583,1,1,,0.306332065,3,2,,0.248157498,3,2
0.071244197,1,1,,0.285836909,3,2,,0.763572846,3,2
0.073537772,1,1,,0.342853718,3,2,,0.860735795,3,2
0.08028072,1,1,,0.289139773,3,2,,0.660732098,3,2
0.114094763,1,1,,0.297977508,3,2,,0.357829571,3,2
0.082400909,1,1,,0.363876769,3,2,,0.695765873,3,2
0.091932742,1,1,,0.566698125,3,2,,0.603396487,3,2
0.107247585,1,1,,0.288325036,3,2,,0.5473132,3,2
0.075533664,1,1,,0.304121055,3,2,,0.575805296,3,2
0.074353261,1,1,,0.301483098,3,2,,0.717533327,3,2
0.132580333,1,1,,0.264109579,3,2,,0.381263091,3,2
0.085554608,1,1,,0.25459196,3,2,,0.453496538,3,2
0.108042364,1,1,,0.274086301,1,3,,0.886981746,3,2
0.092877893,1,1,,0.567451692,1,3,,0.42743558,3,2
0.081282573,1,1,,0.308525729,1,3,,0.331870098,3,2
0.079632402,1,1,,0.261853409,1,3,,0.433478625,3,2
0.095880634,1,1,,0.274616967,1,3,,0.441586286,3,2
0.098165995,1,1,,0.547398038,1,3,,0.380535525,1,3
0.097381751,1,1,,0.544509115,1,3,,0.527502399,1,3
0.103119736,1,1,,0.472836586,1,3,,0.243356353,1,3
0.095867344,1,1,,0.439631916,1,3,,0.236703881,1,3
0.088944116,1,1,,0.296634781,1,3,,0.367677565,1,3
0.07799632,1,1,,0.294378733,1,3,,0.351446042,1,3
0.122477695,1,1,,0.483448177,1,3,,0.303567465,1,3
0.076473806,1,1,,0.289609674,1,3,,0.153511338,1,3
0.081434514,1,1,,0.261882995,1,3,,0.429888063,1,3
0.105142574,1,1,,0.291102896,1,3,,0.286025687,1,3
0.108385948,1,1,,0.298169584,1,3,,0.30838303,1,3
0.085769815,1,1,,0.279701022,1,3,,0.181073205,1,3
0.088682231,1,1,,0.145863529,1,3,,0.404176527,1,3
0.091707339,1,1,,0.266961356,1,3,,0.272213716,1,3
0.098721087,1,1,,0.29081925,1,3,,0.356140399,1,3
0.104306561,1,1,,0.575739916,1,3,,0.323845925,1,3
0.10423364,1,1,,0.463258226,1,3,,0.242798302,1,3
0.078321264,1,1,,0.25408654,1,3,,0.36205334,1,3
0.080293656,1,1,,0.805145991,1,3,,0.295205746,1,3
0.09036474,1,1,,0.299346559,1,3,,0.64987982,1,3
0.074425022,1,1,,0.290256287,1,3,,0.418819049,1,3
0.115544893,1,1,,0.275663011,1,3,,0.314643563,1,3
0.211929742,1,1,,0.317318027,1,3,,0.296463331,1,3
0.097008103,1,1,,0.629902235,1,3,,0.26367345,1,3
0.074284457,1,1,,0.44255871,1,3,,0.194246297,1,3
0.078371392,1,1,,0.308238507,1,3,,0.356316071,1,3
0.093329425,1,1,,0.298197724,1,3,,0.239334759,1,3
0.070516446,1,1,,0.2114728,1,3,,0.283607161,1,3
0.082836573,1,1,,0.295037089,1,3,,0.28243763,1,3
0.094434295,1,1,,0.558052663,1,3,,0.475149226,1,3
0.087917987,1,1,,0.289615502,1,3,,0.451040949,1,3
0.119103435,1,1,,0.303125169,1,3,,0.153975886,1,3
0.077715825,1,1,,0.326377482,1,3,,0.163076251,1,3
0.087887291,1,1,,0.313348535,1,3,,0.386335078,1,3
0.089566319,1,1,,0.2833041,1,3,,0.306594102,1,3
0.124302343,1,1,,0.435403337,1,3,,0.382765745,1,3
0.109948048,1,1,,0.284526995,1,3,,0.463944998,1,3
0.076832335,1,1,,0.227610781,1,3,,0.690761372,1,3
0.09122392,1,1,,0.355323274,1,3,,0.233460119,1,3
0.144090557,1,1,,0.320667415,2,3,,0.308358703,2,3
0.099923757,1,1,,0.533020579,2,3,,0.636835288,2,3
0.076275432,1,1,,0.43355338,2,3,,0.492267665,2,3
0.130993764,1,1,,0.472183521,2,3,,0.17751994,2,3
0.137415061,1,1,,0.609592781,2,3,,0.202359485,2,3
0.085337151,1,1,,0.351601607,2,3,,0.692311093,2,3
0.074919004,1,1,,0.586095267,2,3,,0.346786618,2,3
0.092639578,1,1,,0.481969918,2,3,,0.282703228,2,3
0.084086733,1,1,,0.487073569,2,3,,0.297226684,2,3
0.08523112,1,1,,0.448573913,2,3,,0.285598648,2,3
0.087096688,1,1,,0.591088146,2,3,,0.291279027,2,3
0.080888636,1,1,,0.373636469,2,3,,0.273083026,2,3
0.068344728,1,1,,0.669220866,2,3,,0.290710034,2,3
0.079692652,1,1,,0.65239849,2,3,,0.293312235,2,3
0.087966496,1,1,,0.311321571,2,3,,0.153149741,2,3
0.087708431,1,1,,0.592864535,2,3,,0.274869219,2,3
0.088067711,1,1,,0.4390748,2,3,,0.413190366,2,3
0.085180888,1,1,,0.364455401,2,3,,0.497871472,2,3
0.145366538,1,1,,0.408863935,2,3,,0.273760484,2,3
0.102745753,1,1,,0.358613984,2,3,,0.246799299,2,3
0.128941801,1,1,,0.627727287,2,3,,0.348273158,2,3
0.076834968,1,1,,0.310264054,2,3,,0.279611094,2,3
0.077677589,1,1,,0.384446262,2,3,,0.712106695,2,3
0.064861382,1,1,,0.22098053,2,3,,0.581395442,2,3
0.125516096,1,1,,0.381361717,2,3,,0.259261346,2,3
0.111407927,1,1,,0.418747275,2,3,,0.332390223,2,3
0.116225123,1,1,,0.479225835,2,3,,0.24305877,2,3
0.091718155,1,1,,0.357822316,2,3,,0.216025328,2,3
0.089264034,1,1,,0.394327499,2,3,,0.296712359,2,3
0.102546789,1,1,,0.436825691,2,3,,0.446763387,2,3
0.08939992,1,1,,0.40231858,2,3,,0.263196894,2,3
0.088198906,1,1,,0.89509341,2,3,,0.258704013,2,3
0.088923253,1,1,,0.227956064,2,3,,0.480439176,2,3
0.195183053,1,1,,0.554361333,2,3,,0.357376365,2,3
0.067854112,1,1,,0.413682421,2,3,,0.537794552,2,3
0.116440582,1,1,,0.42662897,2,3,,0.323478812,2,3
0.074933307,1,1,,0.295483121,2,3,,0.420477292,2,3
0.077089048,1,1,,0.751450803,2,3,,0.306696243,2,3
0.074346029,1,1,,0.319258193,2,3,,0.318251892,2,3
0.136078324,1,1,,0.548243086,2,3,,0.285213416,2,3
0.077676847,1,1,,0.496291627,2,3,,0.311962479,2,3
0.07483165,1,1,,0.267150811,2,3,,0.233929285,2,3
0.145383718,1,1,,1.034200228,2,3,,0.491317658,2,3
0.106866747,1,1,,0.41285657,2,3,,0.155885857,2,3
0.100569151,1,1,,0.427981983,2,3,,0.314176321,2,3
0.083993672,1,1,,0.400527387,2,3,,0.553161648,2,3
